PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,link_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru, text_ru,desc_ru,example_ru,link_ru,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration,decimal_path_padded,depth_max4
794,6.1.3.1.1.2,"6,13112",6,Tricherie,tricherie,Arranger les faits,Attention sélective,,2,,,,Restriction mentale,19,Vous omettez de dire ce que vous pensez vraiment. ,50,Je n'ai pas vu cet homme passer par ici.,40,https://fr.wikipedia.org/wiki/Restriction_mentale,Cheating,Spin doctoring,Selective attention,Mental reservation,18,,Failing to say what one really thinks.,38,I did not see this man pass by here.,,https://en.wikipedia.org/wiki/Mental_reservation,,,,,,,Лукавство,Подгонка фактов,Избирательное внимание,Психическое резервирование,"Неспособность сказать то, что на самом деле думает.","Я не видел, чтобы этот человек проходил здесь.",,,,,,circle,,,,6.1311200,4+
811,6.2,"6,2",2,Tricherie,tricherie,Changement de cap,,,1,3,,,Changement de cap,17,Vous modifiez tacitement et a posteriori l'objectif initial du débat pour ne pas reconnaître votre défaite.,107,Ce qui me tenait le plus à cœur n'était pas de gagner ce match mais d'offrir un beau spectacle au public.,105,,Cheating,Moving the goalposts,,Moving the goalposts,20,,Tacitely changing the point of the argument in order to not admitt defeat.,74,"I didn't mean to win, I just wanted to spend some entertaining time.",,https://en.wikipedia.org/wiki/Moving_the_goalposts,68,,,,"You're right, the rich steal more money than the poor. But still we can't keep a whole population idle on welfare.",,Лукавство,Изменение направления,,Изменение направления,"Молча и пост-фактум вы меняете первоначальную цель дебатов, чтобы не признавать своего поражения. ","Для меня основным было не выиграть этот матч, а подарить публике отличное зрелище. ",,1,,,,circle,,,,6.2000000,2
812,6.2.1,"6,21",3,Tricherie,tricherie,Changement de cap,Exigence renforcée,,2,6,Monter la barre,,Exigence renforcée,18,Vous augmentez vos prétentions à mesure que votre interlocuteur y accède.,73,"- Tu ne sais pas conduire.
- Mais voyons, j'ai mon permis de conduire !
- Oui, mais tu n'as jamais su faire un créneau convenablement...",136,https://en.wiktionary.org/wiki/raise_the_bar,Cheating,Moving the goalposts,Stronger requirements,Stronger requirements,21,Raising the bar,Raising the requirements when they seem to be met by the opponent.,66,"- You can't drive.
-  I have my licence.
- Yes but you cannot drift properly.",,https://en.wiktionary.org/wiki/raise_the_bar,77,,,,,,Лукавство,Изменение направления,Усиленное требование,Усиленное требование,"Вы повышаете планку по мере того, как ваш собеседник отвечает на первоначальный посыл. ","- Ты не умеешь водить. - Да ладно, у меня есть права! - Да, но ты ни разу нормально не припарковался.",,,,true scotsman,,circle,jouer avec le chat,,,6.2100000,3
814,6.2.1.1.1.1,"6,21111",6,Tricherie,tricherie,Changement de cap,Exigence renforcée,,2,4,,,Solution parfaite,17,Vous rejetez toute proposition qui ne suffirait pas à résoudre complètement le problème évoqué.,95,Je suis opposée au port obligatoire de la ceinture de sécurité car cette mesure n'empêche nullement les accidents de la route.,126,http://www.sceptiques.qc.ca/dictionnaire/perfectsolution.html,Cheating,Moving the goalposts,Stronger requirements,Nirvana Fallacy,15,Demanding perfection,Discarding any solution less than perfect.,42,I am against the law requiring that people wear seatbelts since it hasn't eliminated deadly car crashes.,,https://en.wikipedia.org/wiki/Nirvana_fallacy,104,,,,,,Лукавство,Изменение направления,Усиленное требование,Идеальное решение,"Вы отвергаете все предложения, если они не позволят решить проблему полностью. ","Я против ремней безопасности, потому что эта мера не препятствует дорожным происшествиям. ",,1,1,7.2.2.2 5.1.2.2.5,,circle,,,,6.2111100,4+
822,6.2.1.4,"6,214",4,Tricherie,tricherie,Changement de cap,Exigence renforcée,,1,2,,,Renverser la charge de la preuve,32,Vous estimez que c'est à la partie adverse de démontrer l'invalidité de votre position.,87,"Si vous ne pouvez pas me prouver que le monstre du Loch Ness n'existe pas, c'est qu'il existe.",94,https://fr.wikipedia.org/wiki/Renverser_la_charge_de_la_preuve_(philosophie),Cheating,Moving the goalposts,Stronger requirements,Shifting the burden of proof.,29,,Assuming a proposition to be true until proved false or vice-versa.,67,That you can't prove that the Loch Ness monster does not exist shows that it does exist.,,https://en.wikipedia.org/wiki/Philosophical_burden_of_proof#Shifting_the_burden_of_proof,88,,,,,,Лукавство,Изменение направления,Усиленное требование,Переворот доказательств,"Вы считаете, что другая сторона должна опровергать ваши доводы, а не вы - доказывать ваши. ","Раз вы не можете доказать мне, что Лох-несское чудовище не существует, значит, оно существует. ",,1,1,,,circle,femme porte un homme assis,,,6.2140000,4+
825,6.2.2,"6,22",3,Tricherie,tricherie,Changement de cap,Beurre et argent du beurre,,2,7,Versatilité: ON INVERSERAIT PAS LE TEXT_FR eT LE NOM VULGARISé?,,Beurre et argent du beurre,26,"Vous n'adoptez pas clairement une position, afin qu'il soit impossible de vous prendre en défaut.",97,"Si j'ai par mégarde heurté quelqu'un dans cette assistance, je tiens à lui présenter mes excuses ; j'ai cependant agi en mon âme et conscience.",143,,Cheating,Moving the goalposts,Versatility,Versatility,11,,"You don't commit to any clear point, so that you can never be proven wrong.",75,"I apologize if I offended anyone, but I did what I thought was  right.",,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/101/Having-Your-Cake,70,,,,"Although I don't think the system is working, I don't believe in revolution either.",le beurre et l'argent du beurre. / retourner sa veste? /ménager la chèvre et le chou?,Лукавство,Изменение направления,И на елку влезть...,И на елку влезть...,"Вы не занимаете четкой позиции, чтобы вас было не подловить. ","Если я по недосмотру кого-то задел, то приношу извинения, тем не менее, я действовал по совести. ",,,,,,circle,,,,6.2200000,3
827,6.2.2.1.1,"6,2211",5,Tricherie,tricherie,Changement de cap,Beurre et argent du beurre,,1,1,,,Langue de bois,14,"Pour éviter de répondre, vous énoncez des banalités abstraites qui ne vous engagent en rien.",92,Votre colère est légitime. En ces temps troublés nous devons tous faire preuve d'un grand sens des responsabilités.,115,https://fr.wikipedia.org/wiki/Langue_de_bois,Cheating,Moving the goalposts,Versatility,Wooden language,15,,Formulating stereotypical statements that are general enough to be uncommiting.,79,"I understand your legitimate anger, but it is important that everybody makes a fair effort.",,https://en.wikipedia.org/wiki/Wooden_language,91,,,Je ne demande que la paix et la prospérité dans le monde.,All I want is peace and prosperity for all.,« la parole a été donnée à l'homme pour cacher sa pensée ».,Лукавство,Изменение направления,И на елку влезть...,Деревянный язык,"Чтобы уйти от ответа, вы высказываете абстрактные банальности, которые ни к чему вас не обязывают. ",Ваш гнев оправдан. В эти смутные времена нам должно проявлять высокую степень гражданской ответственности. ,,1,,,,circle,,,,6.2211000,4+
835,6.2.2.5,"6,225",4,Tricherie,tricherie,Changement de cap,Beurre et argent du beurre,,2,6,Rétropédalage,,Couverture,10,Vous modifiez discrètement votre position pour parer des arguments ou des faits qui la réfutent.,96,"Je n'ai pas dit que je voulais abandonner ce projet, voyons, mais simplement que j'envisageais d'y travailler différemment.",123,,Cheating,Moving the goalposts,Versatility,Hedging,7,,Refining a claim to dodge counter evidence and then acting as if the revised claim is the original one.,103,I just said I would change my way of working on this contract. Not that I was giving it up.,,,91,,,J'ai dit et redit que je travaillerais à la paix dans ce pays ; il n'est pas question que nous retirions nos troupes unilatéralement.,"I just said I would work towards peace. Unilaterally calling our troops back is unthinkable, of course.",,Лукавство,Изменение направления,И на елку влезть...,Под прикрытием,"Вы незаметно меняете свою точку зрения, чтобы отразить аргументы или факты, которые ей противоречат. ","Я не говорил, что хочу бросить этот проект, просто хотел подойти к нему иначе. ",,,,"liens ad-hoc sauvetage, vrai écossais",,circle,,,,6.2250000,4+
841,6.2.3,"6,23",3,Tricherie,tricherie,Changement de cap,Exigence relâchée,,1,4,Baisser la barre,,Exigence relâchée,17,Vous réduisez vos prétentions à mesure que votre argumentation se heurte à des difficultés.,91,"Ce n'était certes pas notre meilleur match, mais il a permis à notre équipe de montrer un vrai potentiel.",105,,Cheating,Moving the goalposts,Weaker demands,Weaker demands,14,Lower the bar,Lowering the requirements when you're argumentation seems to fail to meet them.,79,"I admit it was not our best game, but the team showed great potential.",,https://www.usingenglish.com/reference/idioms/lower+the+bar.html,70,,,,"By introducing the Zero-hour contract, we managed to drastically reduce the number of unemployed people.",,Лукавство,Изменение направления,Снижение требований,Снижение требований,"Вы снижаете требования по мере того, как ваша аргументация встречает трудности. ","Конечно, это не был наш лучший матч, но он позволил нашей команде проявить свой потенциал. ",,,,,,circle,,,,6.2300000,3
845,6.2.3.3,"6,233",4,Tricherie,tricherie,Changement de cap,Exigence relâchée,,2,,,,Argument de l'effort notable,28,Vous prétendez que votre démarche vaut au moins pour l'effort qui lui est consacré.,83,Cette nouvelle organisation aura nécessité la cohésion de nos équipes autour de cet épineux problème,100,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/137/Notable-Effort,Cheating,Moving the goalposts,Weaker demands,Notable effort,14,,Claiming one's approach is worth at least for the effort devoted to it.,71,This new organization will have required the cohesion of our teams around this thorny problem,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/137/Notable-Effort,,,,,,,Лукавство,Изменение направления,Снижение требований,Заметное усилие,"Вы утверждаете, что ваш подход стоит хотя бы усилий, затраченных на него.",Эта новая организация потребует сплоченности наших команд в решении этой сложной проблемы.,,,,,,circle,,,,6.2330000,4+
850,6.3,"6,3",2,Tricherie,tricherie,Pensée biaisée,,,1,7,,,Pensée biaisée,14,Votre perception de la réalité est déformée par votre propre subjectivité.,74,Ces personnes-là se ressemblent toutes : comment font-elles pour se reconnaître entre elles ?,93,,Cheating,Biased thinking,,Biased thinking,15,,"Argumenting under the influence of a cognitive bias, which hinders the ability to reason in a balanced manner .",111,Those people all look the same. How can they tell themselves apart from each other?,,https://en.wikipedia.org/wiki/Baconian_method#Idols_of_the_mind_.28idola_mentis.29,83,,Idola mentis ,,,,Лукавство,Искаженная мысль,,Искаженная мысль,Ваше восприятие реальности деформировано вашей же субъективностью. ,"Эти люди все на одно лицо, как вы можете их различать?",,,,,,circle,arlequin,,,6.3000000,2
851,6.3.1,"6,31",3,Tricherie,tricherie,Pensée biaisée,Anthropocentrisme,,2,5,Biais naturel,,Anthropocentrisme,17,Vous raisonnez dans un contexte biaisé par la nature humaine.,61,La nature est à ce point pleine de sagesse qu'elle a fait traverser chaque ville par une rivière.,97,https://fr.wikipedia.org/wiki/Idola_tribus,Cheating,Biased thinking,Human nature bias,Human nature bias,17,,"Thinking in a manner which is influenced by our human nature, thus losing scientific objectivity.",97,Mother nature is so wise and benevolent! She even made rivers flow through cities...,,https://en.wikipedia.org/wiki/Idola_tribus,84,,Idola tribus,,,,Лукавство,Искаженная мысль,Антропоцентризм,Антропоцентризм,"Вы рассуждаете, ставя человека в центре всего. ","Природа настолько мудра, что сделала так, что в каждом горое проходит река. ",,,,,,circle,,,,6.3100000,3
855,6.3.1.3.1,"6,3131",5,Tricherie,tricherie,Pensée biaisée,Anthropocentrisme,,2,,,,Projection psychologique,24,Votre argument vise à attribuer vos propres défauts à votre adversaire. ,72,Je ne lui fais pas confiance car il me déteste. ,48,https://en.wikipedia.org/wiki/Psychological_projection,Cheating,Biased thinking,Human nature bias,Psychological projection,24,,Your argument aims to attribute your own flaws to your opponent.,64,I don't trust him because he hates me.,,https://en.wikipedia.org/wiki/Psychological_projection,,,,,,,Лукавство,Искаженная мысль,Антропоцентризм,Психологическая проекция,"Ваша аргументация направлена ​​на то, чтобы приписать собственные недостатки оппоненту.","Я не доверяю ему, потому что он ненавидит меня.",https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%86%D0%B8%D1%8F_(%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F),,,,,circle,,,,6.3131000,4+
865,6.3.2,"6,32",3,Tricherie,tricherie,Pensée biaisée,Ethnocentrisme,,1,5,Biais culturel,,Ethnocentrisme,14,Vous raisonnez dans un contexte biaisé par votre expérience sociétale.,70,"Ces personnes sont bien à plaindre, sans télévision ni voiture...",65,,Cheating,Biased thinking,Cultural bias,Cultural bias,13,,Thinking in a manner which is influenced by cultural prejudice or subjectivity.,79,They are so poor! They must be so sad without a car or a TV... ,,https://en.wikipedia.org/wiki/Idola_specus,63,,Idola specus,,,,Лукавство,Искаженная мысль,Этноцентризм,Этноцентризм,"Вы рассуждаете с позиций того общества, в котором живете. ","Этих людей только пожалеть, у них ни телевизора, ни машины...",,,,,,circle,,,,6.3200000,3
880,6.3.3,"6,33",3,Tricherie,tricherie,Pensée biaisée,Dogmatisme,,1,3,Biais dogmatique,,Dogmatisme,10,Vous raisonnez dans un contexte biaisé par l'application stricte de concepts théoriques.,88,"En cuisine, il n'y a que l'huile d'olive qui vaille. Je fais donc ma viennoiserie sans beurre.",94,https://fr.wikipedia.org/wiki/Idoles_du_Th%C3%A9%C3%A2tre,Cheating,Biased thinking,Dogmatic bias,Dogmatic bias,13,,"Reasoning on the basis of the strict, exclusive application of theoretical concepts.",84,,,https://en.wikipedia.org/wiki/Idola_theatri,0,,Idola theatri,"""Si les gens n'avaient jamais entendu parler d'amour, l'amour n'existerait pas.""  (François de La Rochefoucauld)",Prehistoric men went about hunting lions while the women cared for the children. That's where patriarchy comes from.,,Лукавство,Искаженная мысль,Догматизм,Догматизм,Вы рассуждаете в контексте строгого следования теоретическим концепциям.,На кухне есть место лишь оливковому маслу. Так что выпечку будем делать без сливочного масла. ,,1,1,,,circle,,,,6.3300000,3
892,7,7,1,Obstruction,obstruction,,,,1,2,,,Obstruction,11,"Par un artifice, oratoire ou autre, vous faites en sorte que la discussion ne se déroule pas comme prévu.",105,,0,,Obstruction,,,Obstruction,11,,"Preventing the discussion from focusing on the main issue at hand, by any means necessary.",90,,,http://www.ditext.com/fearnside/39.html,0,"Un peu de mal avec le nom (Blocage) de cette cat. refus du débat? Couler? destruction? on pourrait avoir 3 sous-cat = fuite, sabotage, attaque.",,,,,Обструкция,,,Обструкция,"С помощью уловок, ораторских приемов или чего-то еще вы делаете так, что дискуссия идет не так, как планировалось.",,,,,,,square,baston générale,#ff2408,,7.0000000,1
893,7.1,"7,1",2,Obstruction,obstruction,Refus du débat,,,1,8,,,Refus du débat,14,Vous évitez la discussion pour empêcher toute forme d'argumentation.,68,"Mes positions sont claires, connues de tous, et elles ne changeront pas.",72,,Obstruction,Refusing debate,,Refusing debate,15,,Evading debate by means of preventing a rational argumentative discussion.,74,This is not a debatable issue. So let us move on to that other subject.,,,71,"on pourrait inverser les noms de 7 et 7.1. ça deviendrait blocage, voir barricade.",,,,,Обструкция,Отказ от дебатов,,Отказ от дебатов,"Вы избегаете дискуссии, чтобы помешать собеседнику аргументировать свою позицию. ","Моя позиция четка, известна всем, и она не поменяется. ",,,,,,circle,se bouche les oreilles,,,7.1000000,2
894,7.1.1,"7,11",3,Obstruction,obstruction,Refus du débat,Relativisme abusif,,1,1,Relativisme,,Relativisme abusif,18,Vous soutenez qu'il existe autant de vérités que de perspectives individuels.,77,"C'est peut-être vrai pour toi, mais ça ne l'est pas pour moi.",61,,Obstruction,Refusing debate,Relativism,Relativism,10,,Arguing that truth is relative to individual subjectivities and perspectives.,77,That's perhaps true for you. But it's not true for me.,,http://www.ditext.com/fearnside/9.html#b,54,,,Vous me dites que la théorie de l'évolution est un fait scientifiquement établi ; mais la science occidentale n'est qu'un système de croyances parmi d'autres !,"Evolution theory might be scientifically proven, but western science is only one particular system of beliefs.",,Обструкция,Отказ от дебатов,Чрезмерная относительность,Чрезмерная относительность,"Вы поддерживаете мнение, что существует столько истин, сколько есть мнений. ","Может быть это и правильно для тебя, но для меня - нет. ",,1,1,5.3.2.3.2.1,,circle,horloge spirale,,,7.1100000,3
899,7.1.2,"7,12",3,Obstruction,obstruction,Refus du débat,Sophisme d'Explication,,2,6,,,Sophisme d'Explication,22,Vous trompez votre auditoire en prétendant expliquer des choses.,64,Pourquoi la mer est bleue ? Parce que les dauphins pleurent. ,61,,Obstruction,Refusing debate,Fallacy of explanation,Fallacy of explanation,22,,Misleading the debate by pretending to explain things.,54,,,https://web.archive.org/web/20171215143918/http://www.onegoodmove.org/fallacy/explan_index.htm,0,,,,,,Обструкция,Отказ от дебатов,Софизм объяснения,Софизм объяснения,Вы вводите аудиторию в заблуждение мнимыми объяснениями. ,Почему море синее? Потому что это слезы дельфинов. ,,,,,,circle,,,,7.1200000,3
900,7.1.2.1,"7,121",4,Obstruction,obstruction,Refus du débat,Sophisme d'Explication,,1,3,Affirmation invérifiable,,Postulat infalsifiable,22,Vous avancez une thèse qui ne peut être ni corroborée ni infirmée par l'expérience ou le raisonnement.,102,C'est une voix intérieure qui m'a ordonné de faire cela...,58,,Obstruction,Refusing debate,Fallacy of explanation,Unfalsifiability,16,,Asserting a theory or hypothesis which cannot possibly be contradicted by observation or experimentation.,105,"When I'm alone, a man from the future speaks to me, but only I can see or hear him.",,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/178/Unfalsifiability,83,,,,,,Обструкция,Отказ от дебатов,Софизм объяснения,Неопровержимый постулат,"Вы выдвигаете посыл, который не может быть ни подтвержден, ни опровергнут ни опытом, ни аргументацией. ",Сделать это приказал мне внутренний голос...,,1,,,,circle,,,,7.1210000,4+
903,7.1.2.2,"7,122",4,Obstruction,obstruction,Refus du débat,Sophisme d'Explication,,2,5,Superficialité,,Profondeur limitée,18,"Vous analysez un phénomène de manière simpliste, sans en rechercher les véritables causes.",90,Mon chien fouille dans les poubelles parce que... c'est un chien !,66,,Obstruction,Refusing debate,Fallacy of explanation,Limited depth,13,Superficiality,"Failing to engage with the underlying causes of a phenomenon, thus resorting to superficial assertions.",103,My dog goes through our garbage because it's a dog.,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/118/Limited-Depth,51,liens t profonditude,,,,,Обструкция,Отказ от дебатов,Софизм объяснения,Ограниченная глубина,"Вы анализируете феномен, упрощая, не пытаясь найти истинную причину. ","Моя собака роется в помойке, потому что это собака! ",,,,2.2.1.2.2,,circle,,,,7.1220000,4+
909,7.1.3,"7,13",3,Obstruction,obstruction,Refus du débat,Preuve par assertion,,2,4,,,Preuve par assertion,20,Vous affirmez une proposition de manière suffisamment forte et répétée pour lui donner une apparence de solidité.,113,"Vous pouvez me croire sur parole : en deux semaines, j'enseignerai la physique quantique à votre enfant.",104,,Obstruction,Refusing debate,Proof by assertion,Proof by assertion,18,,Using the mere assertivity of one's discourse as argumentation.,63,"Believe me, I can teach your kid quantum physics in two weeks.",,https://en.wikipedia.org/wiki/Proof_by_assertion,62,,,Je le répète : notre pays sera plus stable et plus puissant si c'est moi qui le dirige.,"Let me say it again: with me, our country will be strong and stable.",,Обструкция,Отказ от дебатов,Доказательство утверждением,Доказательство утверждением,"Вы повторяете ваш посыл убедительно и многократно, чтобы он выглядет солидно. ",Вы можете поверить мне на слово: за две недели я обучу вашего ребенка квантовой физике. ,,,,,,circle,,,,7.1300000,3
912,7.1.3.3,"7,133",4,Obstruction,obstruction,Refus du débat,Preuve par assertion,,1,2,Guerre d'usure,,Argumentum ad nauseam,21,Vous répétez inlassablement votre position pour venir à bout de toute velléité de contestation.,95,Les produits laitiers sont nos amis pour la vie. Ils sont excellents pour la santé. En plus ils sont vraiment bon pour nous. Ils permettent d'être en forme.,156,https://fr.wikipedia.org/wiki/Argumentum_ad_nauseam,Obstruction,Refusing debate,Proof by assertion,Ad nauseam,10,Argument from repetition,Repeatedly stating one's point until everyone grows tired of it and gives up arguing.,85,"It is written in all magazines that when you shave your legs, it grows even stronger.",,https://en.wikipedia.org/wiki/Ad_nauseam,85,exemple bof,"argumentum ad nauseam, argumentum ad infinitum, argument par répétition",,,,Обструкция,Отказ от дебатов,Доказательство утверждением,До отвращения,"Вы без устали повторяете вашу позицию, чтобы пресечь всякую попытку ее оспорить. ",,,1,,,,circle,gramophone,,,7.1330000,4+
922,7.2,"7,2",2,Obstruction,obstruction,Saboter le débat,,,1,6,Sabotage,,Saboter le débat,16,Vous détériorez le cadre de la discussion dans le but de l'orienter ou d'en limiter la portée.,94,Allons donc dans mon bureau pour discuter de la stupidité de votre demande d'augmentation...,92,,Obstruction,Sabotage,,Sabotage,8,,Disrupting the good proceeding of rational debate in order to divert it or reduce its scope.,92,Let us sit down in my office to discuss the stupidity of your request for an increase.,,https://en.wikipedia.org/wiki/Sabotage,86,,,"Le gouvernement, responsable de votre chômage actuel, vient ce soir défendre son bilan politique à la télévision.",,,Обструкция,Саботаж дебатов,,Саботаж дебатов,"Вы ухудшаете обстановку дискуссии, чтобы придать ей нужное направление или ограничить ее значение. ","Пойдемте в мой кабинет, и там обсудим, насколько глупа ваша просьба о повышении. ",,,,,,circle,voiture tombe d'une falaise,,,7.2000000,2
923,7.2.1,"7,21",3,Obstruction,obstruction,Saboter le débat,Fausse piste,,2,2,Diversion,,Fausse piste,12,Vous détournez le débat de son objet premier afin d'échapper aux arguments de votre contradicteur.,98,"Avant de me reprocher mon retard, peux-tu m'expliquer pourquoi tu te promènes dans cette tenue ?",96,,Obstruction,Sabotage,Misleading,Misleading,10,,Introducing an item that distracts from the original subject of discussion.,75,"Before we discuss my being late, can you tell me why you're dressed like that ?",,https://en.wikipedia.org/wiki/Red_herring,79,"Okay pour le nom ""Fausse-piste"", j'avais choisi ""Chiffon rouge"" pour garder l'idée de ""Red"" du ""Red Herring"" mais le terme ""Fausse-piste"" est pertinent. En tout cas il est mieux que ""Hareng fumé"" ahah, toutefois j'étais d'accord avec le RationalWiki pour mettre le Red Herring (ignoratio elenchi) en tant que catégorie mère des sophismes génétiques et appels à l'ignorances, ok pour la mettre en tant que fille de ""Sabotage"" mais elle ne peut pas être simplement cousine des ad hominem, cette dernière catégorie me semble mieux placée si elle est intégrée dans la ""Fausse Piste"" - J",red herring,Nous ne pourrons pas traiter les problèmes de fiscalité tant que cette affaire de mœurs ne sera pas réglée.,"The fiscal policy you advocate is interesting, but isn't your finance minister involved in adultery?",,Обструкция,Саботаж дебатов,Ложный след,Ложный след,"Вы сбиваете дебаты с первоначального пути, чтобы не была раскрыта противоречивость вашей аргументации.",,,1,,,,circle,panneaux indicateurs,,,7.2100000,3
938,7.2.1.6,"7,216",4,Obstruction,obstruction,Saboter le débat,Fausse piste,,1,4,Défense Chewbacca,,Noyer le poisson,16,Vous noyez votre auditoire sous une très grande quantité d'informations majoritairement sans rapport avec le débat.,115,"J'ai eu une mauvaise note, mais on a volé mes billes: Jean a gagné la première, il est parti au toilette, et Sandrine m'a demandé mon goûter.",141,https://fr.wikipedia.org/wiki/D%C3%A9fense_Chewbacca,Obstruction,Sabotage,Misleading,Chewbacca defense,17,,Hiding a flaw in one's argument behind large amounts of mostly irrelevant information.,86,"Ladies and gentlemen of this supposed jury, it does not make sense! Chewbacca is a Wookiee from the planet Kashyyyk. If Chewbacca lives on Endor, you must acquit!",,https://en.wikipedia.org/wiki/Chewbacca_defense,162,ex anglais tiré de la première défense chewbacca dans un épisode des simpsons. Sinon: What was he doing there and then? Is he friends with activists? What was his childhood like? The sea reflects the color of the sky. HE can't be guilty.,,,,,Обструкция,Саботаж дебатов,Ложный след,Замести следы,"Вы закидываете аудиторию огромным количеством информации, которая по большей части не имеет ничего общего с дебатами. ","Я получил плохую оценку, но у меня украли игрушки, Петя принес сегодня в школу ноутбук, а Наташа попросила поделиться с ней полдником. ",,1,1,"un ignoratio elenchi (utilisation d'arguments valides pour soutenir un thème n'ayant rien à voir), et une logique non sequitur similaire à l’argumentum ad nauseam.",,circle,Chewbaca,,,7.2160000,4+
939,7.2.2,"7,22",3,Obstruction,obstruction,Saboter le débat,Complication exagérée,,2,5,Couper les cheveux en quatre,,Complication exagérée,21,Vous embrouillez le débat afin de rendre la discussion impossible.,66,"Ce soir-là, Il pleuvait ; or, l'eau contient des atomes d'oxygène et d'hydrogène dont les électrons se comportent de manière quantique ; êtes-vous donc certain que votre radar électromagnétique n'ait pas momentanément dysfonctionné ?",233,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XVII,Obstruction,Sabotage,Overcomplicating,Overcomplicating,16,,Increasing the complexity of the issue until no one is able to prove anything anymore.,86,"It was raining, and water is made of hydrogen, which has electrons on quantic orbits.  Didn't your electro-magnetic radar malfunction?",,,134,liens t,,"On ne peut pas parler sérieusement de violence à l'école sans aborder les inégalités territoriales et donc la politique de fiscalité, ainsi que son corollaire, le droit international...","On the matter of working EU nationals, we should first decide on the meaning of work and the notion of Nation.",,Обструкция,Саботаж дебатов,Чрезмерное усложнение,Чрезмерное усложнение,"Вы запутываете собеседника, чтобы сделать дискуссию невозможной. ","В тот вечер шел дождь; а вода содержит атомы кислорода и водорода. Электроны в них ведут себя квантовым образом; так что уверены ли вы, что ваш электромагнитный радар в тот момент работал корректно?",,,,4.1.1.2 2.1.1.1.1,,circle,,,,7.2200000,3
943,7.2.3,"7,23",3,Obstruction,obstruction,Saboter le débat,Empoisonner le puits,,1,3,,,Empoisonner le puits,20,Vous exposez des informations visant à jeter le discrédit sur le débat ou sur des arguments.,92,Est-il besoin de vous rappeler que la chirurgie vasculaire a été développée par un sympathisant nazi ?,102,https://fr.wikipedia.org/wiki/Empoisonner_le_puits,Obstruction,Sabotage,Poisoning the well,Poisoning the well,18,," Presenting information which aims to discredit the argumentation, the debate or the opponent.",94,"Mr Prime Minister, I hope your son's current legal issues won't undermine your ability to defend your new security bill.",,https://en.wikipedia.org/wiki/Poisoning_the_well,120,ben je n'aime pas l'exemple FR. Il est vraiment trop dégueulasse politicomoralement parlant.,,,,,Обструкция,Саботаж дебатов,Отравленный колодец,Отравленный колодец,"Вы сообщаете информацию, способную дискредитировать дебаты. ","Стоит ли напоминать, что сосудистая хирургия была развита врачами, симпатизировавшими нацистам?",,1,,ad hominem,,circle,,,,7.2300000,3
952,7.3,"7,3",2,Obstruction,obstruction,Ad hominem,,,1,1,,Ad hominem,Ad hominem,10,"Vous confrontez l'adversaire directement dans sa personne en lui opposant ses propres paroles, actes, intentions ou fréquentations.",131,Je n'ai pas triché: il dit ça pour prendre ma place.,52,https://fr.wikipedia.org/wiki/Argumentum_ad_hominem,Obstruction,Ad hominem,,Ad hominem,10,,Discrediting an opponent instead of proving them wrong.,55,I don't take advice from drug users.,,https://en.wikipedia.org/wiki/Ad_hominem,36,"La différence ad hominem et ad personam est le sujet d'un débat velu, je vous propose ma propre synthèse, basée sur les différentes sources à ma disposition, sans prendre forcément en compte les articles wikipedia, et en délaissant complètement les définitions zététiques et autres du même type, qui ne font pas toujours bien la distinction. L'ad hominem peut etre utile pour confronter l'adversaire à ses propres incohérences afin de faire avancer le débat, et n'oblige pas forcément à négliger les arguments dits, la double-faute ou l'appel à l'hypocrisie pourrait en descendre sous certaines conditions. Alors que l'ad personam est toujours déplacé, le piège kafkaïen (que j'adore) en descendrait, ainsi que l'empoisonnement du puit. - J",,,"He is a clown, he won't be able to govern our country nor to make it strong and stable.",,Обструкция,К человеку,,К человеку,"Вы апеллируете к самому человеку, приписывая ему свои собственные слова, действия или намерения. ","Я не мухлевал, он сказал это, чтобы получить мое место. ",,,,,,circle,éléphant de guerre,,,7.3000000,2
